#datum;m_ta;m_tax;m_taxd;m_tan;m_tand
1982-05;16.7;22.0;1982-05-28;7.0;1982-05-02
1982-06;19.1;24.5;1982-06-27;13.8;1982-06-17
1982-07;20.4;24.8;1982-07-21;15.4;1982-07-01
1982-08;20.3;23.4;1982-08-15;16.6;1982-08-30
1982-09;18.7;24.0;1982-09-08;14.9;1982-09-25
1982-10;11.5;15.7;1982-10-01;6.0;1982-10-31
1982-11;4.5;10.8;1982-11-14;-1.2;1982-11-08
1982-12;3.2;11.1;1982-12-18;-1.9;1982-12-06
1983-01;1.7;8.4;1983-01-28;-3.0;1983-01-21
1983-02;-0.3;8.0;1983-02-11;-4.9;1983-02-16
1983-03;6.5;13.7;1983-03-25;-0.8;1983-03-13
1983-04;12.2;17.7;1983-04-28;5.5;1983-04-15
1983-05;17.5;23.9;1983-05-16;10.5;1983-05-06
1983-06;18.6;23.7;1983-06-04;12.8;1983-06-17
1983-07;21.9;25.3;1983-07-19;16.5;1983-07-22
1983-08;20.3;25.0;1983-08-02;14.0;1983-08-05
1983-09;15.9;22.2;1983-09-11;10.6;1983-09-25
1983-10;9.4;16.4;1983-10-06;3.8;1983-10-24
1983-11;0.8;8.1;1983-11-06;-7.9;1983-11-20
1983-12;-0.6;7.1;1983-12-19;-10.3;1983-12-13
1984-01;-0.3;5.5;1984-01-04;-5.0;1984-01-07
1984-02;0.7;5.6;1984-02-25;-4.6;1984-02-16
1984-03;4.4;12.0;1984-03-29;-1.7;1984-03-20
1984-04;10.9;15.1;1984-04-03;4.1;1984-04-27
1984-05;15.4;20.9;1984-05-20;7.8;1984-05-10
1984-06;17.2;21.6;1984-06-03;13.1;1984-06-13
1984-07;18.2;26.4;1984-07-13;12.5;1984-07-07
1984-08;19.4;24.6;1984-08-06;14.9;1984-08-28
1984-09;16.1;22.8;1984-09-06;8.7;1984-09-27
1984-10;11.9;18.4;1984-10-01;5.4;1984-10-18
1984-11;4.9;9.5;1984-11-08;-1.0;1984-11-14
1984-12;-1.8;2.8;1984-12-19;-6.3;1984-12-29
1985-01;-6.6;4.3;1985-01-24;-15.2;1985-01-08
1985-02;-8.1;4.4;1985-02-02;-15.5;1985-02-12
1985-03;4.4;10.5;1985-03-31;-2.5;1985-03-01
1985-04;10.5;14.6;1985-04-09;4.4;1985-04-29
1985-05;16.6;22.1;1985-05-13;7.7;1985-05-03
1985-06;16.1;22.0;1985-06-07;12.4;1985-06-18
1985-07;20.2;25.6;1985-07-29;15.0;1985-07-10
1985-08;20.4;25.6;1985-08-15;12.6;1985-08-08
1985-09;14.8;20.7;1985-09-03;10.4;1985-09-27
1985-10;9.6;17.5;1985-10-05;-0.1;1985-10-28
1985-11;3.7;9.3;1985-11-02;-2.1;1985-11-30
1985-12;2.9;9.4;1985-12-29;-2.7;1985-12-01
1986-01;-0.4;6.6;1986-01-24;-6.4;1986-01-11
1986-02;-2.5;4.0;1986-02-01;-9.2;1986-02-05
1986-03;4.6;12.9;1986-03-29;-4.5;1986-03-01
1986-04;12.7;19.2;1986-04-26;1.3;1986-04-14
1986-05;17.8;22.0;1986-05-23;12.5;1986-05-12
1986-06;19.2;25.4;1986-06-15;10.0;1986-06-06
1986-07;20.0;24.7;1986-07-06;15.0;1986-07-09
1986-08;21.4;25.3;1986-08-05;13.5;1986-08-30
1986-09;15.9;22.1;1986-09-17;11.1;1986-09-26
1986-10;9.6;14.8;1986-10-03;4.5;1986-10-30
1986-11;4.2;8.3;1986-11-16;0.1;1986-11-30
1986-12;-2.3;4.0;1986-12-31;-11.5;1986-12-26
1987-01;-5.8;6.1;1987-01-01;-17.5;1987-01-13
1987-02;0.2;7.3;1987-02-20;-13.7;1987-02-01
1987-03;0.1;11.6;1987-03-28;-10.6;1987-03-03
1987-04;10.4;14.7;1987-04-30;5.7;1987-04-01
1987-05;14.3;18.0;1987-05-01;9.1;1987-05-08
1987-06;19.4;26.1;1987-06-15;13.2;1987-06-01
1987-07;22.7;28.0;1987-07-24;16.0;1987-07-28
1987-08;17.6;21.4;1987-08-27;14.2;1987-08-06
1987-09;17.5;23.4;1987-09-14;9.5;1987-09-30
1987-10;11.0;16.4;1987-10-11;2.4;1987-10-31
1987-11;5.2;11.0;1987-11-26;1.0;1987-11-02
1987-12;0.4;6.6;1987-12-30;-5.4;1987-12-11
1988-01;2.2;8.0;1988-01-29;-4.3;1988-01-15
1988-02;2.4;9.3;1988-02-07;-4.7;1988-02-21
1988-03;4.1;10.2;1988-03-31;-0.8;1988-03-03
1988-04;9.9;14.8;1988-04-29;3.9;1988-04-24
1988-05;16.2;20.1;1988-05-31;9.7;1988-05-22
1988-06;17.9;21.7;1988-06-30;13.1;1988-06-24
1988-07;22.1;28.5;1988-07-06;17.2;1988-07-20
1988-08;20.0;25.9;1988-08-15;13.3;1988-08-26
1988-09;15.4;20.8;1988-09-02;12.6;1988-09-15
1988-10;9.5;15.8;1988-10-13;1.3;1988-10-27
1988-11;-1.3;3.5;1988-11-02;-13.1;1988-11-24
1988-12;0.0;4.7;1988-12-05;-7.8;1988-12-18
1989-01;-1.9;0.4;1989-01-10;-5.8;1989-01-08
1989-02;2.8;12.9;1989-02-25;-2.7;1989-02-14
1989-03;7.5;14.4;1989-03-31;4.2;1989-03-12
1989-04;12.9;18.7;1989-04-28;5.2;1989-04-02
1989-05;15.4;20.2;1989-05-19;7.2;1989-05-07
1989-06;17.1;21.6;1989-06-27;12.9;1989-06-16
1989-07;20.8;26.4;1989-07-10;14.0;1989-07-19
1989-08;19.7;25.5;1989-08-17;13.4;1989-08-30
1989-09;16.1;20.2;1989-09-19;12.3;1989-09-30
1989-10;10.6;13.6;1989-10-29;7.4;1989-10-02
1989-11;3.6;13.7;1989-11-04;-7.8;1989-11-30
1989-12;0.5;12.8;1989-12-19;-9.4;1989-12-11
1990-01;-0.8;8.3;1990-01-30;-9.6;1990-01-09
1990-02;4.2;9.3;1990-02-26;-0.4;1990-02-14
1990-03;8.5;14.5;1990-03-22;0.8;1990-03-03
1990-04;10.7;13.7;1990-04-16;4.7;1990-04-09
1990-05;16.1;21.6;1990-05-25;12.2;1990-05-01
1990-06;18.3;24.5;1990-06-29;13.2;1990-06-11
1990-07;20.1;24.7;1990-07-31;15.1;1990-07-07
1990-08;20.4;24.8;1990-08-07;15.9;1990-08-22
1990-09;13.7;22.8;1990-09-01;10.0;1990-09-29
1990-10;10.2;15.8;1990-10-01;2.5;1990-10-23
1990-11;5.6;12.7;1990-11-23;-1.0;1990-11-11
1990-12;0.4;5.8;1990-12-11;-4.3;1990-12-24
1991-01;-0.5;7.1;1991-01-11;-11.8;1991-01-31
1991-02;-2.6;3.1;1991-02-11;-11.3;1991-02-01
1991-03;7.2;15.5;1991-03-24;1.4;1991-03-04
1991-04;9.5;14.1;1991-04-06;4.8;1991-04-18
1991-05;12.7;16.7;1991-05-22;8.7;1991-05-19
1991-06;19.1;26.9;1991-06-17;15.1;1991-06-05
1991-07;22.2;26.9;1991-07-13;17.1;1991-07-27
1991-08;19.4;24.3;1991-08-09;14.5;1991-08-21
1991-09;16.3;22.2;1991-09-30;9.4;1991-09-08
1991-10;9.5;18.9;1991-10-01;0.2;1991-10-27
1991-11;5.7;10.3;1991-11-17;-0.8;1991-11-02
1991-12;-4.2;2.7;1991-12-01;-10.8;1991-12-09
1992-01;-2.2;2.8;1992-01-10;-11.4;1992-01-04
1992-02;0.7;6.6;1992-02-14;-6.2;1992-02-21
1992-03;5.3;13.5;1992-03-25;1.6;1992-03-17
1992-04;11.5;19.6;1992-04-27;5.6;1992-04-07
1992-05;15.9;19.4;1992-05-20;10.9;1992-05-28
1992-06;20.0;23.5;1992-06-23;15.8;1992-06-06
1992-07;21.8;25.2;1992-07-23;18.9;1992-07-15
1992-08;24.9;27.8;1992-08-29;19.4;1992-08-17
1992-09;15.5;20.3;1992-09-04;11.8;1992-09-07
1992-10;9.8;19.1;1992-10-06;3.3;1992-10-13
1992-11;4.9;10.9;1992-11-03;-0.3;1992-11-14
1992-12;-1.1;9.8;1992-12-05;-12.4;1992-12-26
1993-01;-1.6;5.6;1993-01-23;-10.0;1993-01-01
1993-02;-3.3;1.4;1993-02-11;-9.7;1993-02-01
1993-03;3.0;12.9;1993-03-23;-5.6;1993-03-06
1993-04;10.1;18.1;1993-04-28;3.6;1993-04-01
1993-05;18.8;22.8;1993-05-27;15.4;1993-05-23
1993-06;19.4;25.2;1993-06-23;14.1;1993-06-28
1993-07;19.3;25.9;1993-07-20;14.7;1993-07-15
1993-08;20.3;26.1;1993-08-23;11.6;1993-08-31
1993-09;14.7;20.9;1993-09-14;8.2;1993-09-30
1993-10;11.9;20.4;1993-10-14;2.6;1993-10-31
1993-11;1.9;13.4;1993-11-07;-7.3;1993-11-27
1993-12;2.7;8.9;1993-12-21;-2.4;1993-12-05
1994-01;2.4;7.5;1994-01-08;-4.0;1994-01-22
1994-02;1.6;9.1;1994-02-28;-5.4;1994-02-16
1994-03;7.3;12.5;1994-03-31;2.7;1994-03-04
1994-04;11.5;17.4;1994-04-30;5.0;1994-04-07
1994-05;15.7;24.1;1994-05-18;9.3;1994-05-05
1994-06;19.3;28.2;1994-06-29;11.4;1994-06-06
1994-07;23.1;26.9;1994-07-31;16.8;1994-07-10
1994-08;21.6;27.0;1994-08-02;16.3;1994-08-15
1994-09;19.4;24.1;1994-09-01;13.8;1994-09-21
1994-10;9.3;19.3;1994-10-03;3.1;1994-10-19
1994-11;4.3;11.5;1994-11-01;-2.8;1994-11-27
1994-12;0.4;9.2;1994-12-13;-5.1;1994-12-03
1995-01;-1.8;7.8;1995-01-26;-12.0;1995-01-18
1995-02;4.6;7.9;1995-02-08;-2.1;1995-02-01
1995-03;5.5;11.0;1995-03-05;1.4;1995-03-29
1995-04;10.0;19.6;1995-04-23;1.5;1995-04-10
1995-05;15.3;23.4;1995-05-28;9.3;1995-05-03
1995-06;18.8;22.7;1995-06-01;13.9;1995-06-03
1995-07;23.4;25.9;1995-07-12;20.8;1995-07-06
1995-08;20.8;25.3;1995-08-24;13.0;1995-08-30
1995-09;15.4;22.0;1995-09-14;9.4;1995-09-30
1995-10;11.8;16.9;1995-10-11;4.4;1995-10-26
1995-11;2.2;11.8;1995-11-17;-4.3;1995-11-25
1995-12;0.4;9.5;1995-12-24;-11.1;1995-12-29
1996-01;-1.9;5.0;1996-01-12;-7.0;1996-01-31
1996-02;-3.1;2.8;1996-02-20;-11.4;1996-02-01
1996-03;1.5;6.2;1996-03-24;-7.6;1996-03-05
1996-04;12.5;18.5;1996-04-26;1.2;1996-04-14
1996-05;18.5;24.7;1996-05-19;12.9;1996-05-29
1996-06;20.8;27.6;1996-06-11;14.9;1996-06-24
1996-07;20.1;26.3;1996-07-08;15.1;1996-07-19
1996-08;20.9;25.3;1996-08-03;16.7;1996-08-05
1996-09;13.4;19.9;1996-09-03;10.5;1996-09-16
1996-10;11.4;17.0;1996-10-17;4.0;1996-10-27
1996-11;7.9;14.8;1996-11-18;1.3;1996-11-26
1996-12;-1.1;6.6;1996-12-14;-12.5;1996-12-27
1997-01;-2.0;2.2;1997-01-04;-8.0;1997-01-01
1997-02;1.1;11.7;1997-02-26;-5.9;1997-02-04
1997-03;4.9;9.2;1997-03-14;-1.3;1997-03-19
1997-04;7.8;15.2;1997-04-29;2.9;1997-04-07
1997-05;17.2;23.3;1997-05-16;10.9;1997-05-27
1997-06;20.0;26.6;1997-06-29;13.0;1997-06-01
1997-07;20.1;24.4;1997-07-04;16.1;1997-07-07
1997-08;21.2;23.7;1997-08-13;15.9;1997-08-30
1997-09;15.9;22.0;1997-09-01;11.0;1997-09-29
1997-10;8.5;21.3;1997-10-10;-2.0;1997-10-27
1997-11;6.7;17.1;1997-11-08;-1.9;1997-11-20
1997-12;2.3;8.1;1997-12-02;-5.2;1997-12-18
1998-01;2.7;8.0;1998-01-09;-5.5;1998-01-27
1998-02;3.9;10.9;1998-02-16;-8.5;1998-02-01
1998-03;3.9;12.0;1998-03-04;-1.9;1998-03-12
1998-04;12.8;17.2;1998-04-05;8.4;1998-04-20
1998-05;15.8;21.3;1998-05-11;9.9;1998-05-16
1998-06;19.9;26.1;1998-06-08;12.5;1998-06-14
1998-07;20.6;27.1;1998-07-23;12.9;1998-07-09
1998-08;20.4;28.0;1998-08-04;13.0;1998-08-28
1998-09;15.1;20.6;1998-09-12;10.2;1998-09-14
1998-10;10.8;17.2;1998-10-07;4.7;1998-10-27
1998-11;2.6;12.1;1998-11-04;-2.9;1998-11-20
1998-12;-5.5;-0.9;1998-12-16;-11.9;1998-12-24
1999-01;-1.3;3.1;1999-01-12;-10.3;1999-01-01
1999-02;-1.5;4.0;1999-02-05;-6.9;1999-02-01
1999-03;6.4;13.5;1999-03-27;1.3;1999-03-01
1999-04;12.0;18.0;1999-04-16;5.7;1999-04-19
1999-05;15.4;22.2;1999-05-31;9.6;1999-05-06
1999-06;20.4;24.2;1999-06-08;12.5;1999-06-24
1999-07;22.4;26.4;1999-07-06;18.8;1999-07-24
1999-08;20.0;26.4;1999-08-10;16.5;1999-08-31
1999-09;18.5;22.3;1999-09-26;15.5;1999-09-30
1999-10;10.6;18.8;1999-10-03;3.9;1999-10-18
1999-11;3.5;10.4;1999-11-07;-1.7;1999-11-21
1999-12;0.3;6.8;1999-12-04;-11.1;1999-12-24
2000-01;-3.5;2.8;2000-01-31;-10.4;2000-01-25
2000-02;2.2;6.7;2000-02-07;-1.7;2000-02-23
2000-03;5.0;12.7;2000-03-29;-2.0;2000-03-17
2000-04;14.1;19.9;2000-04-23;3.6;2000-04-09
2000-05;17.9;24.0;2000-05-28;12.9;2000-05-03
2000-06;20.6;27.1;2000-06-14;14.3;2000-06-17
2000-07;20.0;26.9;2000-07-04;15.2;2000-07-17
2000-08;22.5;28.2;2000-08-21;16.2;2000-08-26
2000-09;15.0;19.2;2000-09-13;10.5;2000-09-26
2000-10;13.2;18.7;2000-10-03;6.0;2000-10-22
2000-11;8.5;16.4;2000-11-01;0.8;2000-11-29
2000-12;2.2;8.8;2000-12-28;-7.8;2000-12-23
2001-01;0.6;9.6;2001-01-07;-7.6;2001-01-21
2001-02;2.3;8.9;2001-02-07;-3.0;2001-02-03
2001-03;7.6;13.1;2001-03-17;1.4;2001-03-21
2001-04;10.8;19.0;2001-04-30;4.0;2001-04-14
2001-05;17.7;22.2;2001-05-18;12.0;2001-05-13
2001-06;17.6;22.4;2001-06-10;10.2;2001-06-04
2001-07;21.3;27.7;2001-07-16;15.6;2001-07-03
2001-08;21.9;26.8;2001-08-10;15.7;2001-08-30
2001-09;14.4;19.7;2001-09-01;9.1;2001-09-27
2001-10;12.7;18.6;2001-10-03;4.5;2001-10-27
2001-11;2.0;9.6;2001-11-01;-6.8;2001-11-27
2001-12;-5.3;1.5;2001-12-30;-12.5;2001-12-24
2002-01;-1.3;7.5;2002-01-29;-11.9;2002-01-04
2002-02;4.2;9.9;2002-02-27;-0.7;2002-02-05
2002-03;7.2;13.1;2002-03-07;3.0;2002-03-04
2002-04;11.3;16.7;2002-04-21;1.5;2002-04-07
2002-05;18.9;23.7;2002-05-26;14.3;2002-05-01
2002-06;20.4;27.6;2002-06-24;12.6;2002-06-03
2002-07;23.0;28.2;2002-07-11;19.0;2002-07-26
2002-08;21.1;24.3;2002-08-04;17.4;2002-08-13
2002-09;15.3;21.5;2002-09-05;9.5;2002-09-26
2002-10;9.9;16.9;2002-10-17;4.0;2002-10-31
2002-11;6.6;15.8;2002-11-16;1.1;2002-11-07
2002-12;-1.8;7.9;2002-12-03;-11.9;2002-12-25
2003-01;-3.3;4.8;2003-01-03;-14.3;2003-01-12
2003-02;-5.8;1.5;2003-02-21;-15.0;2003-02-14
2003-03;3.6;12.4;2003-03-29;-2.8;2003-03-08
2003-04;10.0;19.6;2003-04-30;0.1;2003-04-08
2003-05;19.7;24.7;2003-05-27;11.3;2003-05-15
2003-06;21.7;25.2;2003-06-13;17.5;2003-06-22
2003-07;21.7;26.7;2003-07-01;16.7;2003-07-13
2003-08;22.9;26.8;2003-08-29;18.2;2003-08-31
2003-09;15.7;19.9;2003-09-22;11.7;2003-09-03
2003-10;8.2;18.6;2003-10-03;-0.4;2003-10-25
2003-11;6.8;13.3;2003-11-02;0.6;2003-11-13
2003-12;-0.1;5.2;2003-12-31;-6.1;2003-12-26
2004-01;-3.0;4.3;2004-01-14;-9.0;2004-01-07
2004-02;0.3;7.2;2004-02-07;-8.0;2004-02-13
2004-03;5.6;14.4;2004-03-21;-3.6;2004-03-06
2004-04;11.9;17.2;2004-04-30;7.8;2004-04-08
2004-05;14.7;20.0;2004-05-31;9.3;2004-05-24
2004-06;19.0;21.7;2004-06-28;16.1;2004-06-16
2004-07;20.9;26.3;2004-07-09;14.8;2004-07-28
2004-08;20.5;25.3;2004-08-20;16.2;2004-08-27
2004-09;15.1;20.1;2004-09-15;10.7;2004-09-23
2004-10;11.8;17.2;2004-10-31;6.6;2004-10-13
2004-11;5.1;14.2;2004-11-01;-1.2;2004-11-22
2004-12;1.0;8.5;2004-12-02;-4.0;2004-12-22
2005-01;-0.9;3.2;2005-01-05;-9.2;2005-01-31
2005-02;-3.7;3.2;2005-02-22;-15.4;2005-02-10
2005-03;2.7;13.4;2005-03-18;-6.7;2005-03-01
2005-04;11.3;16.0;2005-04-14;4.8;2005-04-21
2005-05;16.7;25.0;2005-05-29;9.7;2005-05-08
2005-06;18.8;23.9;2005-06-16;9.9;2005-06-10
2005-07;21.0;27.9;2005-07-31;16.1;2005-07-06
2005-08;19.8;25.6;2005-08-03;13.3;2005-08-08
2005-09;16.9;20.9;2005-09-01;12.1;2005-09-18
2005-10;10.7;16.6;2005-10-04;2.2;2005-10-31
2005-11;3.7;10.0;2005-11-16;-1.9;2005-11-21
2005-12;0.1;6.9;2005-12-06;-4.7;2005-12-22
2006-01;-3.3;5.1;2006-01-05;-14.6;2006-01-23
2006-02;-1.3;7.1;2006-02-20;-7.1;2006-02-07
2006-03;3.4;13.3;2006-03-28;-4.5;2006-03-01
2006-04;12.1;18.2;2006-04-26;5.1;2006-04-13
2006-05;15.6;23.1;2006-05-23;11.2;2006-05-31
2006-06;19.4;27.6;2006-06-27;11.6;2006-06-02
2006-07;23.1;26.4;2006-07-26;16.7;2006-07-16
2006-08;19.0;25.3;2006-08-20;12.3;2006-08-30
2006-09;17.5;22.8;2006-09-04;14.5;2006-09-09
2006-10;12.0;20.6;2006-10-03;1.0;2006-10-31
2006-11;6.3;13.1;2006-11-17;-1.3;2006-11-04
2006-12;2.0;10.8;2006-12-09;-4.4;2006-12-31
2007-01;3.6;8.3;2007-01-19;-2.9;2007-01-27
2007-02;4.1;7.3;2007-02-11;-0.7;2007-02-03
2007-03;9.0;12.7;2007-03-19;5.2;2007-03-05
2007-04;12.5;18.0;2007-04-28;7.7;2007-04-05
2007-05;18.2;24.3;2007-05-21;8.0;2007-05-02
2007-06;22.1;25.4;2007-06-21;16.9;2007-06-01
2007-07;23.0;30.1;2007-07-20;14.4;2007-07-11
2007-08;22.5;29.5;2007-08-24;16.7;2007-08-04
2007-09;14.6;19.5;2007-09-18;10.3;2007-09-05
2007-10;10.4;15.9;2007-10-02;4.8;2007-10-20
2007-11;3.7;8.8;2007-11-03;-2.5;2007-11-30
2007-12;-0.4;6.0;2007-12-10;-6.0;2007-12-31
2008-01;1.1;7.5;2008-01-21;-6.2;2008-01-04
2008-02;3.2;9.8;2008-02-27;-4.6;2008-02-17
2008-03;6.6;10.8;2008-03-28;1.8;2008-03-19
2008-04;11.6;16.6;2008-04-11;7.7;2008-04-06
2008-05;17.0;22.2;2008-05-31;13.1;2008-05-05
2008-06;20.7;25.5;2008-06-23;15.9;2008-06-15
2008-07;20.8;26.0;2008-07-13;15.9;2008-07-15
2008-08;21.5;27.9;2008-08-15;15.4;2008-08-31
2008-09;15.5;26.8;2008-09-07;8.9;2008-09-17
2008-10;11.9;16.4;2008-10-30;6.0;2008-10-18
2008-11;6.5;15.4;2008-11-02;-0.9;2008-11-23
2008-12;2.8;9.9;2008-12-01;-6.6;2008-12-29
2009-01;-1.6;6.8;2009-01-22;-10.6;2009-01-09
2009-02;0.5;9.8;2009-02-07;-5.8;2009-02-20
2009-03;5.5;12.6;2009-03-30;1.6;2009-03-25
2009-04;14.7;17.1;2009-04-11;11.9;2009-04-17
2009-05;17.2;22.4;2009-05-22;11.0;2009-05-29
2009-06;19.3;23.9;2009-06-09;13.6;2009-06-21
2009-07;22.8;26.9;2009-07-24;18.1;2009-07-19
2009-08;22.2;26.0;2009-08-03;18.1;2009-08-31
2009-09;18.7;23.5;2009-09-04;13.4;2009-09-30
2009-10;10.8;18.8;2009-10-07;3.6;2009-10-14
2009-11;7.3;12.3;2009-11-09;0.4;2009-11-03
2009-12;1.9;11.7;2009-12-25;-11.5;2009-12-18
2010-01;-1.7;9.7;2010-01-09;-8.6;2010-01-28
2010-02;1.1;8.6;2010-02-26;-10.5;2010-02-02
2010-03;5.9;15.4;2010-03-26;-2.3;2010-03-07
2010-04;11.6;16.7;2010-04-25;7.0;2010-04-03
2010-05;16.3;20.0;2010-05-03;10.3;2010-05-18
2010-06;19.7;27.0;2010-06-12;13.1;2010-06-01
2010-07;22.5;27.8;2010-07-16;14.9;2010-07-07
2010-08;21.2;27.0;2010-08-14;12.9;2010-08-31
2010-09;14.9;18.5;2010-09-09;9.4;2010-09-30
2010-10;7.9;12.0;2010-10-25;2.5;2010-10-28
2010-11;8.1;12.3;2010-11-16;-0.5;2010-11-30
2010-12;-1.0;11.3;2010-12-08;-9.5;2010-12-16
2011-01;-0.6;6.4;2011-01-10;-10.2;2011-01-30
2011-02;-1.9;3.7;2011-02-18;-8.7;2011-02-01
2011-03;5.9;13.6;2011-03-16;-1.3;2011-03-09
2011-04;12.7;16.8;2011-04-25;5.9;2011-04-14
2011-05;16.7;22.2;2011-05-31;8.9;2011-05-04
2011-06;20.6;24.4;2011-06-23;16.0;2011-06-28
2011-07;20.7;28.6;2011-07-10;12.9;2011-07-02
2011-08;22.1;27.3;2011-08-25;17.3;2011-08-11
2011-09;19.1;23.9;2011-09-05;15.7;2011-09-25
2011-10;9.7;18.2;2011-10-01;3.0;2011-10-18
2011-11;1.8;9.4;2011-11-05;-5.7;2011-11-24
2011-12;2.3;9.0;2011-12-05;-2.7;2011-12-01
2012-01;0.2;5.1;2012-01-04;-6.0;2012-01-31
2012-02;-5.3;4.7;2012-02-25;-13.5;2012-02-09
2012-03;6.9;14.2;2012-03-25;-2.7;2012-03-07
2012-04;12.2;21.9;2012-04-30;3.5;2012-04-09
2012-05;17.0;23.3;2012-05-02;9.8;2012-05-17
2012-06;21.2;27.3;2012-06-21;15.0;2012-06-02
2012-07;23.9;28.7;2012-07-05;17.0;2012-07-22
2012-08;23.1;29.2;2012-08-06;15.8;2012-08-12
2012-09;18.8;25.0;2012-09-01;10.1;2012-09-20
2012-10;11.4;20.0;2012-10-01;2.7;2012-10-29
2012-11;7.0;13.8;2012-11-05;2.8;2012-11-16
2012-12;-0.9;5.1;2012-12-26;-8.7;2012-12-13
2013-01;-0.5;6.5;2013-01-21;-6.7;2013-01-09
2013-02;2.9;8.9;2013-02-25;-2.0;2013-02-21
2013-03;3.6;11.0;2013-03-08;-5.0;2013-03-17
2013-04;12.4;22.4;2013-04-30;2.5;2013-04-01
2013-05;17.0;22.2;2013-05-01;10.9;2013-05-27
2013-06;20.2;27.6;2013-06-21;12.7;2013-06-04
2013-07;22.1;28.5;2013-07-29;17.8;2013-07-13
2013-08;22.5;28.5;2013-08-09;17.9;2013-08-28
2013-09;14.5;18.1;2013-09-03;9.4;2013-09-28
2013-10;12.4;18.7;2013-10-12;4.4;2013-10-04
2013-11;7.9;14.7;2013-11-05;-1.3;2013-11-28
2013-12;0.7;7.9;2013-12-27;-3.6;2013-12-11
2014-01;2.4;9.9;2014-01-20;-6.7;2014-01-25
2014-02;3.9;8.5;2014-02-12;-6.6;2014-02-04
2014-03;9.2;13.9;2014-03-23;5.0;2014-03-25
2014-04;12.9;17.3;2014-04-24;7.4;2014-04-15
2014-05;16.1;22.9;2014-05-23;10.4;2014-05-04
2014-06;20.2;26.8;2014-06-10;14.9;2014-06-02
2014-07;22.1;25.7;2014-07-07;17.3;2014-07-11
2014-08;20.7;25.7;2014-08-01;15.6;2014-08-25
2014-09;17.3;22.1;2014-09-02;11.0;2014-09-24
2014-10;11.8;17.9;2014-10-14;3.2;2014-10-28
2014-11;6.9;14.9;2014-11-07;-1.3;2014-11-27
2014-12;2.7;6.7;2014-12-16;-8.5;2014-12-31
2015-01;1.2;6.8;2015-01-21;-9.9;2015-01-07
2015-02;1.9;9.9;2015-02-24;-3.1;2015-02-03
2015-03;6.7;14.9;2015-03-26;3.1;2015-03-07
2015-04;10.8;17.7;2015-04-16;3.6;2015-04-03
2015-05;16.5;22.5;2015-05-06;11.7;2015-05-27
2015-06;20.7;26.0;2015-06-14;13.9;2015-06-25
2015-07;23.6;28.6;2015-07-08;18.5;2015-07-11
2015-08;24.2;28.9;2015-08-12;14.7;2015-08-21
2015-09;18.4;27.2;2015-09-01;12.0;2015-09-30
2015-10;10.6;16.4;2015-10-07;6.6;2015-10-31
2015-11;5.8;11.1;2015-11-10;0.4;2015-11-24
2015-12;2.6;7.3;2015-12-01;-5.8;2015-12-31
2016-01;-1.8;6.6;2016-01-11;-12.3;2016-01-22
2016-02;5.9;9.8;2016-02-22;0.6;2016-02-05
2016-03;6.8;14.6;2016-03-31;2.2;2016-03-02
2016-04;13.0;17.7;2016-04-17;5.8;2016-04-25
2016-05;16.4;23.0;2016-05-29;10.0;2016-05-17
2016-06;20.8;28.2;2016-06-24;16.6;2016-06-07
2016-07;21.7;26.4;2016-07-13;16.2;2016-07-16
2016-08;20.6;24.9;2016-08-05;15.5;2016-08-11
2016-09;17.9;22.8;2016-09-11;11.4;2016-09-22
2016-10;9.5;17.9;2016-10-02;4.9;2016-10-31
2016-11;4.4;12.7;2016-11-06;-0.7;2016-11-15
2016-12;-2.2;3.2;2016-12-02;-5.3;2016-12-31
2017-01;-6.2;0.7;2017-01-13;-13.4;2017-01-07
2017-02;1.7;11.6;2017-02-28;-3.5;2017-02-13
2017-03;8.8;15.2;2017-03-22;4.6;2017-03-10
2017-04;10.4;18.1;2017-04-28;3.7;2017-04-20
2017-05;16.9;22.3;2017-05-31;8.2;2017-05-10
2017-06;21.6;26.4;2017-06-28;15.8;2017-06-17
2017-07;21.9;26.8;2017-07-21;18.1;2017-07-15
2017-08;23.2;29.1;2017-08-04;16.3;2017-08-23
2017-09;16.2;23.1;2017-09-11;10.6;2017-09-30
2017-10;10.8;15.1;2017-10-17;2.2;2017-10-31
2017-11;5.5;8.9;2017-11-09;-0.4;2017-11-28
2017-12;2.7;10.4;2017-12-12;-1.3;2017-12-21
2018-01;2.4;9.0;2018-01-07;-2.8;2018-01-15
2018-02;0.3;7.5;2018-02-02;-8.2;2018-02-28
2018-03;3.3;14.0;2018-03-31;-8.2;2018-03-01
2018-04;16.1;21.6;2018-04-29;7.5;2018-04-02
2018-05;19.8;23.4;2018-05-31;13.9;2018-05-16
2018-06;20.9;25.5;2018-06-20;13.8;2018-06-23
2018-07;22.4;26.3;2018-07-30;15.5;2018-07-01
2018-08;24.0;26.2;2018-08-10;17.4;2018-08-26
2018-09;18.1;24.6;2018-09-02;9.3;2018-09-26
2018-10;13.2;19.1;2018-10-29;4.9;2018-10-25
2018-11;7.0;17.7;2018-11-02;-4.9;2018-11-30
2018-12;0.6;6.0;2018-12-04;-6.7;2018-12-19
2019-01;-1.4;2.4;2019-01-02;-7.5;2019-01-08
2019-02;3.3;8.2;2019-02-03;-2.1;2019-02-23
2019-03;8.6;13.0;2019-03-17;4.0;2019-03-12
